ID,Surface_m²,Nbre_Pièces,Âge_Maison,Distance_Centre,Prix_1000€
1,80,3,10,3.2,190
2,120,4,5,2.5,270
3,60,2,15,8.7,140
4,100,4,20,5.0,210
5,90,3,7,4.3,200
6,150,5,3,1.0,330
7,200,6,1,0.8,410
8,75,3,25,10.0,160
9,110,4,30,7.5,230
10,55,2,40,15.0,120
11,130,5,5,3.0,290
12,95,3,18,4.0,205
13,160,5,2,2.0,340
14,180,6,0,1.2,390
15,60,2,10,12.0,130
16,85,3,12,9.5,185
17,140,4,4,3.0,310
18,170,5,6,2.5,360
19,75,2,30,13.0,150
20,105,4,20,7.0,215
21,65,2,35,14.0,135
22,90,3,22,6.0,190
23,125,5,8,2.2,285
24,135,4,3,1.5,300
25,150,5,1,1.0,325
26,95,3,17,4.7,200
27,160,5,0,0.5,345
28,175,6,2,1.1,380
29,70,2,28,11.0,145
30,100,4,19,6.5,220
31,60,2,38,16.0,115
32,85,3,21,8.0,180
33,145,5,4,2.0,315
34,165,6,2,1.3,355
35,78,2,27,12.5,155
36,98,3,15,5.5,200
37,132,5,6,3.0,295
38,182,6,1,0.7,400
39,58,2,41,18.0,110
40,88,3,20,10.0,175
41,115,4,7,4.0,260
42,148,5,3,2.1,320
43,90,3,25,7.0,185
44,168,6,2,1.0,370
45,72,2,30,13.5,140
46,107,4,17,5.5,225
47,59,2,39,17.0,105
48,83,3,23,9.0,170
49,137,5,5,2.2,305
50,158,5,2,1.3,335
